record_type,metric,task1_value,task3_value,sample_count,preferred_direction,notes,dataset,dataset_split,seed,device,clients,epochs,communication_rounds,mobo_rounds,local_fairness_loss,mobo_fairness_objective,gp_fit_failure_count,gp_fit_failure_rounds,gp_fit_failure_mobo_iterations,gp_fit_failure_mobo_indices,gp_fit_failure_types,gp_fit_retained_alphas,gp_fit_retained_learning_rates,gp_fit_fallback_action
final_metric,balanced_accuracy,0.7690318212,0.7683912709,6513.0000000000,higher,Final model after all communication and MOBO evaluations.,adult,"Adult test split (20%, random_state=42)",42,cpu,3,15,50,10,0.5 * gender_dp_loss + 0.5 * race_dp_loss,"-max(abs(gender_spd), abs(race_spd))",1,13,10,9,ModelFittingError,1276.331787109375,0.008032766170799732,retain previous valid alpha/lr; skip remaining MOBO iterations in that communication round; continue with the next round
final_metric,gender_signed_spd,0.0284339752,0.0104635307,6513.0000000000,context,Final model after all communication and MOBO evaluations.,adult,"Adult test split (20%, random_state=42)",42,cpu,3,15,50,10,0.5 * gender_dp_loss + 0.5 * race_dp_loss,"-max(abs(gender_spd), abs(race_spd))",1,13,10,9,ModelFittingError,1276.331787109375,0.008032766170799732,retain previous valid alpha/lr; skip remaining MOBO iterations in that communication round; continue with the next round
final_metric,gender_absolute_spd,0.0284339752,0.0104635307,6513.0000000000,lower,Final model after all communication and MOBO evaluations.,adult,"Adult test split (20%, random_state=42)",42,cpu,3,15,50,10,0.5 * gender_dp_loss + 0.5 * race_dp_loss,"-max(abs(gender_spd), abs(race_spd))",1,13,10,9,ModelFittingError,1276.331787109375,0.008032766170799732,retain previous valid alpha/lr; skip remaining MOBO iterations in that communication round; continue with the next round
final_metric,race_signed_spd,0.1850204114,0.0003118728,6513.0000000000,context,Final model after all communication and MOBO evaluations.,adult,"Adult test split (20%, random_state=42)",42,cpu,3,15,50,10,0.5 * gender_dp_loss + 0.5 * race_dp_loss,"-max(abs(gender_spd), abs(race_spd))",1,13,10,9,ModelFittingError,1276.331787109375,0.008032766170799732,retain previous valid alpha/lr; skip remaining MOBO iterations in that communication round; continue with the next round
final_metric,race_absolute_spd,0.1850204114,0.0003118728,6513.0000000000,lower,Final model after all communication and MOBO evaluations.,adult,"Adult test split (20%, random_state=42)",42,cpu,3,15,50,10,0.5 * gender_dp_loss + 0.5 * race_dp_loss,"-max(abs(gender_spd), abs(race_spd))",1,13,10,9,ModelFittingError,1276.331787109375,0.008032766170799732,retain previous valid alpha/lr; skip remaining MOBO iterations in that communication round; continue with the next round
final_metric,worst_absolute_spd,0.1850204114,0.0104635307,6513.0000000000,lower,Final model after all communication and MOBO evaluations.,adult,"Adult test split (20%, random_state=42)",42,cpu,3,15,50,10,0.5 * gender_dp_loss + 0.5 * race_dp_loss,"-max(abs(gender_spd), abs(race_spd))",1,13,10,9,ModelFittingError,1276.331787109375,0.008032766170799732,retain previous valid alpha/lr; skip remaining MOBO iterations in that communication round; continue with the next round
final_metric,intersectional_max_min_gap,0.1920516720,0.0903746079,6513.0000000000,lower,Final model after all communication and MOBO evaluations.,adult,"Adult test split (20%, random_state=42)",42,cpu,3,15,50,10,0.5 * gender_dp_loss + 0.5 * race_dp_loss,"-max(abs(gender_spd), abs(race_spd))",1,13,10,9,ModelFittingError,1276.331787109375,0.008032766170799732,retain previous valid alpha/lr; skip remaining MOBO iterations in that communication round; continue with the next round
group_count,Male,,4360.0000000000,4360.0000000000,not_applicable,Adult test-split group count.,adult,"Adult test split (20%, random_state=42)",42,cpu,3,15,50,10,0.5 * gender_dp_loss + 0.5 * race_dp_loss,"-max(abs(gender_spd), abs(race_spd))",1,13,10,9,ModelFittingError,1276.331787109375,0.008032766170799732,retain previous valid alpha/lr; skip remaining MOBO iterations in that communication round; continue with the next round
group_count,Female,,2153.0000000000,2153.0000000000,not_applicable,Adult test-split group count.,adult,"Adult test split (20%, random_state=42)",42,cpu,3,15,50,10,0.5 * gender_dp_loss + 0.5 * race_dp_loss,"-max(abs(gender_spd), abs(race_spd))",1,13,10,9,ModelFittingError,1276.331787109375,0.008032766170799732,retain previous valid alpha/lr; skip remaining MOBO iterations in that communication round; continue with the next round
group_count,White,,5568.0000000000,5568.0000000000,not_applicable,Adult test-split group count.,adult,"Adult test split (20%, random_state=42)",42,cpu,3,15,50,10,0.5 * gender_dp_loss + 0.5 * race_dp_loss,"-max(abs(gender_spd), abs(race_spd))",1,13,10,9,ModelFittingError,1276.331787109375,0.008032766170799732,retain previous valid alpha/lr; skip remaining MOBO iterations in that communication round; continue with the next round
